"구분별","피해정도별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2019 년","2020 년","2021 년","2022 년",
"대졸 이하","감염병","현대사회 위험요인에 따른 피해정도","","5.69","6.5","6.32","6.32","6.29","5.73","7.92","7.831794","7.4846475",
"대졸 이하","부정부패","현대사회 위험요인에 따른 피해정도","","5.6","5.8","5.67","5.67","5.98","7.06","7.23","7.2901864","6.6674601",
"대졸 이하","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.26","6.5","6.38","6.42","6.47","6.96","7.01","7.0618923","6.5754378",
"대졸 이하","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.66","5.8","5.66","5.69","5.85","6.77","7.35","7.4077126","6.6984785",
"대졸 이하","경제위기","현대사회 위험요인에 따른 피해정도","","6.21","6.4","6.22","6.23","6.27","7.39","7.09","7.0525428","6.9522199",
"대졸 이하","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.7051834","6.5402066",
"대졸 이하","안보","현대사회 위험요인에 따른 피해정도","","","","6.02","5.99","6.13","6.62","6.25","","",
"대졸 이하","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.75","6.2","5.99","6.03","6.11","6.23","6.56","","",
"대졸 이하","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.59","6.4","","","","","7.08","7.2035977","6.5155263",
"대졸 이하","화재","현대사회 위험요인에 따른 피해정도","","5.61","5.9","","","","","","","",
"대졸 이하","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.81","6.1","","","","","","","",
"대졸 이하","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3098307",
"대학원 이상","종합","현대사회 위험요인에 따른 피해정도","","6.18","6.8","6.08","6.09","6.34","6.76","7.04","7.2417733","6.5005456",
"대학원 이상","자연재해","현대사회 위험요인에 따른 피해정도","","5.8","6.4","6.33","6.43","5.64","6.2","6.13","5.7948186","6.5703778",
"대학원 이상","교통사고","현대사회 위험요인에 따른 피해정도","","6.2","6.9","","","","","","","",
"대학원 이상","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.21","5.99","6","6.08","6.23","6.6041335","5.9795372",
"대학원 이상","실업","현대사회 위험요인에 따른 피해정도","","6.46","7.1","5.99","6.14","6.68","7.95","7.64","7.3970158","7.0377337",
"대학원 이상","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.3","7.3","6.32","6.41","6.37","5.56","5.58","","",
"대학원 이상","감염병","현대사회 위험요인에 따른 피해정도","","5.69","7.1","6.36","6.33","5.94","6.53","7.77","7.5734423","7.3562954",
"대학원 이상","부정부패","현대사회 위험요인에 따른 피해정도","","6.01","6.5","5.65","5.64","6.27","6.98","7.71","7.8989119","6.2302403",
"대학원 이상","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.79","7.1","6.21","6.35","6.96","7.5","7.19","7.284073","6.2615434",
"대학원 이상","사회 갈등","현대사회 위험요인에 따른 피해정도","","6.21","6.4","5.56","5.58","6.33","6.93","7.85","7.9219263","6.4720954",
"대학원 이상","경제위기","현대사회 위험요인에 따른 피해정도","","6.77","7","6.24","6.27","6.58","7.98","7.29","7.0452502","6.9383403",
"대학원 이상","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","7.3571166","6.6834199",
"대학원 이상","안보","현대사회 위험요인에 따른 피해정도","","","","6.1","5.78","6.69","6.11","6.54","","",
"대학원 이상","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","6.1","6.8","5.91","6.05","6.26","6.49","7.04","","",
"대학원 이상","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.72","6.7","","","","","7.49","7.5410452","6.361913",
"대학원 이상","화재","현대사회 위험요인에 따른 피해정도","","6","6.6","","","","","","","",
"대학원 이상","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.24","6.7","","","","","","","",
"대학원 이상","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","5.6145052",
"100만원 미만","종합","현대사회 위험요인에 따른 피해정도","","5.6","5.5","...","6.09","5.64","","6.89","","",
"100만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","5.72","5.7","...","6","5.35","","6.16","","",
"100만원 미만","교통사고","현대사회 위험요인에 따른 피해정도","","5.75","5.8","","","","","","","",
"100만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.31","5.53","","6.15","","",
"100만원 미만","실업","현대사회 위험요인에 따른 피해정도","","5.33","5.4","...","6.1","6.1","","7.7","","",
"100만원 미만","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","5.62","5.8","...","6.35","5.58","","5.92","","",
"100만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","5.52","5.7","...","6.06","5.55","","7.98","","",
"100만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","5.36","5.1","...","5.56","5.62","","7.44","","",
"100만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","5.9","5.5","...","6.57","5.78","","7.02","","",
"100만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.1","5","...","5.64","5.5","","7.31","","",
"100만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","5.81","5.6","...","6.28","5.76","","7.21","","",
"100만원 미만","안보","현대사회 위험요인에 따른 피해정도","","","","...","6.23","5.87","","6.43","","",
"100만원 미만","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.26","5","...","5.84","5.39","","6.55","","",
"100만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.76","5.7","","","","","6.83","","",
"100만원 미만","화재","현대사회 위험요인에 따른 피해정도","","5.76","5.3","","","","","","","",
"100만원 미만","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.89","5.8","","","","","","","",
"100-200만원 미만","종합","현대사회 위험요인에 따른 피해정도","","5.77","5.8","...","5.98","5.83","","6.71","","",
"100-200만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","5.84","5.9","...","6.15","5.72","","6.14","","",
"100-200만원 미만","교통사고","현대사회 위험요인에 따른 피해정도","","5.84","6.2","","","","","","","",
"100-200만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.06","5.77","","6.03","","",
"100-200만원 미만","실업","현대사회 위험요인에 따른 피해정도","","5.83","5.9","...","5.93","6.09","","7.51","","",
"100-200만원 미만","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.05","6","...","6.28","5.91","","5.84","","",
"100-200만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","5.68","5.9","...","6.28","5.88","","7.81","","",
"100-200만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","5.4","5.4","...","5.6","5.61","","7.08","","",
"100-200만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","5.83","6.1","...","6.19","6","","6.68","","",
"100-200만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.47","5.3","...","5.55","5.64","","7.18","","",
"100-200만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","5.98","5.9","...","6.05","5.92","","7.03","","",
"100-200만원 미만","안보","현대사회 위험요인에 따른 피해정도","","","","...","5.95","5.94","","6.23","","",
"100-200만원 미만","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.56","5.3","...","5.74","5.68","","6.36","","",
"100-200만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.69","6","","","","","6.68","","",
"100-200만원 미만","화재","현대사회 위험요인에 따른 피해정도","","5.65","5.7","","","","","","","",
"100-200만원 미만","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.12","6.1","","","","","","","",
" 200만원 미만","종합","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.7617547","6.4951025",
" 200만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","","","5.6361987","6.1982975",
" 200만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","","","5.9298055","6.3072825",
" 200만원 미만","실업","현대사회 위험요인에 따른 피해정도","","","","","","","","","7.4020464","6.8154162",
" 200만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","","","7.5462531","7.3177721",
" 200만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","","","7.1393784","6.5641686",
" 200만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.7835678","6.3737383",
" 200만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","","","7.2356609","6.6434132",
" 200만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.8481349","6.9398374",
" 200만원 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.3486484","5.990429",
" 200만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.747853","6.1149626",
" 200만원 미만","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.1808102",
"200-300만원 미만","종합","현대사회 위험요인에 따른 피해정도","","5.76","6","...","6.07","6.06","","6.77","6.9770321","",
"200-300만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","5.85","5.9","...","6.16","6.01","","6.07","5.9449737","",
"200-300만원 미만","교통사고","현대사회 위험요인에 따른 피해정도","","5.95","6.2","","","","","","","",
"200-300만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.09","6.03","","6.1","6.1543328","",
"200-300만원 미만","실업","현대사회 위험요인에 따른 피해정도","","5.85","6.2","...","6.17","6.21","","7.59","7.4180293","",
"200-300만원 미만","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.07","6.3","...","6.36","6.25","","5.9","","",
"200-300만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","5.52","6.2","...","6.23","6.2","","7.95","7.8021715","",
"200-300만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","5.26","5.7","...","5.67","5.89","","7.13","7.2596111","",
"200-300만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.01","6.3","...","6.36","6.25","","6.87","7.0267853","",
"200-300만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.47","5.6","...","5.68","5.75","","7.2","7.4556601","",
"200-300만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","6.04","6.1","...","6.14","6.09","","7.08","7.111847","",
"200-300만원 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.519903","",
"200-300만원 미만","안보","현대사회 위험요인에 따른 피해정도","","","","...","5.93","6.08","","6.13","","",
"200-300만원 미만","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.69","5.9","...","5.96","5.92","","6.37","","",
"200-300만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.61","6.1","","","","","6.86","7.0770076","",
"200-300만원 미만","화재","현대사회 위험요인에 따른 피해정도","","5.61","5.8","","","","","","","",
"200-300만원 미만","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.91","6.1","","","","","","","",
"300-400만원 미만","종합","현대사회 위험요인에 따른 피해정도","","5.79","6.1","...","6.1","6.17","","6.73","6.8280919","",
"300-400만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","5.64","6.2","...","6.19","6.21","","5.99","5.9614207","",
"300-400만원 미만","교통사고","현대사회 위험요인에 따른 피해정도","","5.98","6.3","","","","","","","",
"300-400만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.12","6.18","","6.05","6.1760724","",
"300-400만원 미만","실업","현대사회 위험요인에 따른 피해정도","","6.05","6.2","...","6.18","6.31","","7.51","7.2288356","",
"300-400만원 미만","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.14","6.5","...","6.41","6.4","","5.87","","",
"300-400만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","5.49","6.3","...","6.3","6.31","","7.95","7.6591499","",
"300-400만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","5.5","5.6","...","5.67","5.98","","7.08","7.050755","",
"300-400만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.2","6.3","...","6.36","6.34","","6.81","6.7897993","",
"300-400만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.63","5.7","...","5.69","5.76","","7.17","7.2127646","",
"300-400만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","6.18","6.1","...","6.2","6.24","","7.01","6.9213208","",
"300-400만원 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.4191507","",
"300-400만원 미만","안보","현대사회 위험요인에 따른 피해정도","","","","...","5.97","6.18","","6.16","","",
"300-400만원 미만","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.65","6","...","6.01","5.96","","6.31","","",
"300-400만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.44","6.2","","","","","6.85","6.8616498","",
"300-400만원 미만","화재","현대사회 위험요인에 따른 피해정도","","5.6","5.7","","","","","","","",
"300-400만원 미만","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.75","6","","","","","","","",
"400-500만원 미만","종합","현대사회 위험요인에 따른 피해정도","","5.87","6.1","...","6.07","6.21","","6.74","6.8897173","",
"400-500만원 미만","자연재해","현대사회 위험요인에 따른 피해정도","","5.66","6.2","...","6.17","6.29","","6.04","6.1113885","",
"400-500만원 미만","교통사고","현대사회 위험요인에 따른 피해정도","","6.14","6.3","","","","","","","",
"400-500만원 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.14","6.3","","6.04","6.2388886","",
"400-500만원 미만","실업","현대사회 위험요인에 따른 피해정도","","6.1","6.2","...","6.11","6.23","","7.42","7.2070184","",
"400-500만원 미만","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.24","6.5","...","6.41","6.52","","5.9","","",
"400-500만원 미만","감염병","현대사회 위험요인에 따른 피해정도","","5.66","6.4","...","6.26","6.43","","7.83","7.7825377","",
"400-500만원 미만","부정부패","현대사회 위험요인에 따른 피해정도","","5.64","5.7","...","5.61","5.9","","7.05","7.0746229","",
"400-500만원 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.32","6.5","...","6.36","6.37","","6.81","6.8989549","",
"400-500만원 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.67","5.7","...","5.64","5.76","","7.2","7.2451195","",
"400-500만원 미만","경제위기","현대사회 위험요인에 따른 피해정도","","6.26","6.2","...","6.15","6.25","","7.04","6.9261012","",
"400-500만원 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.4761684","",
"400-500만원 미만","안보","현대사회 위험요인에 따른 피해정도","","","","...","5.97","6.15","","6.21","","",
"400-500만원 미만","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.64","6","...","5.96","6.11","","6.45","","",
"400-500만원 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.5","6.3","","","","","6.89","6.9363732","",
"400-500만원 미만","화재","현대사회 위험요인에 따른 피해정도","","5.52","5.7","","","","","","","",
"400-500만원 미만","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.9","6","","","","","","","",
"500만원 이상","종합","현대사회 위험요인에 따른 피해정도","","5.98","6.4","...","6.09","6.21","","6.73","6.9639808","",
"500만원 이상","자연재해","현대사회 위험요인에 따른 피해정도","","5.84","6.5","...","6.12","6.15","","6.1","6.0850539","",
"500만원 이상","교통사고","현대사회 위험요인에 따른 피해정도","","6.34","6.6","","","","","","","",
"500만원 이상","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.16","6.24","","6.04","6.3368601","",
"500만원 이상","실업","현대사회 위험요인에 따른 피해정도","","6.13","6.4","...","6.13","6.3","","7.39","7.2788576","",
"500만원 이상","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.21","6.7","...","6.39","6.43","","5.91","","",
"500만원 이상","감염병","현대사회 위험요인에 따른 피해정도","","5.8","6.6","...","6.3","6.25","","7.94","7.8523758","",
"500만원 이상","부정부패","현대사회 위험요인에 따른 피해정도","","5.87","5.9","...","5.67","5.97","","7","7.1666817","",
"500만원 이상","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.47","6.7","...","6.38","6.51","","6.8","6.9734897","",
"500만원 이상","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.78","5.9","...","5.62","5.86","","7.12","7.2297819","",
"500만원 이상","경제위기","현대사회 위험요인에 따른 피해정도","","6.21","6.5","...","6.21","6.3","","6.98","6.9874517","",
"500만원 이상","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.6011381","",
"500만원 이상","안보","현대사회 위험요인에 따른 피해정도","","","","...","6.07","6.16","","6.25","","",
"500만원 이상","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.71","6.2","...","5.97","6.12","","6.38","","",
"500만원 이상","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.73","6.7","","","","","6.87","7.1281175","",
"500만원 이상","화재","현대사회 위험요인에 따른 피해정도","","5.65","5.9","","","","","","","",
"500만원 이상","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.05","6.4","","","","","","","",
" 200-400만 미만","종합","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.604239",
" 200-400만 미만","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.5335557",
" 200-400만 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3500363",
" 200-400만 미만","실업","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.8259508",
" 200-400만 미만","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","","","","7.3725448",
" 200-400만 미만","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6103342",
" 200-400만 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4645021",
" 200-400만 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6499768",
" 200-400만 미만","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.9166743",
" 200-400만 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4150632",
" 200-400만 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2653216",
" 200-400만 미만","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2426689",
" 400-600만 미만","종합","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6330429",
" 400-600만 미만","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.5177008",
" 400-600만 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3781624",
" 400-600만 미만","실업","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.8459286",
" 400-600만 미만","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","","","","7.506742",
" 400-600만 미만","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6300819",
" 400-600만 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4343851",
" 400-600만 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7033287",
" 400-600만 미만","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.9346236",
" 400-600만 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4119566",
" 400-600만 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3822472",
" 400-600만 미만","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2183146",
" 600-800만 미만","종합","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6590393",
" 600-800만 미만","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6195525",
" 600-800만 미만","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4857058",
" 600-800만 미만","실업","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7081144",
" 600-800만 미만","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","","","","7.387322",
" 600-800만 미만","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6016649",
" 600-800만 미만","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.6254457",
" 600-800만 미만","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.5828066",
" 600-800만 미만","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.849525",
" 600-800만 미만","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.5290267",
" 600-800만 미만","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.5917778",
" 600-800만 미만","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.268491",
" 800만원 이상","종합","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7965744",
" 800만원 이상","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.414724",
" 800만원 이상","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4490641",
" 800만원 이상","실업","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.9016976",
" 800만원 이상","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","","","","7.4877127",
" 800만원 이상","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7771302",
" 800만원 이상","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7776784",
" 800만원 이상","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.8357293",
" 800만원 이상","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","","","","7.0077873",
" 800만원 이상","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.7745466",
" 800만원 이상","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.8743073",
" 800만원 이상","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.4619405",
"기혼","종합","현대사회 위험요인에 따른 피해정도","","5.84","6.2","...","6.06","6.16","6.65","6.76","6.9016047","6.6712317",
"기혼","자연재해","현대사회 위험요인에 따른 피해정도","","5.71","6.2","...","6.13","6.15","6.16","6.03","6.1019141","6.5279083",
"기혼","교통사고","현대사회 위험요인에 따른 피해정도","","6.07","6.4","","","","","","","",
"기혼","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.11","6.19","6.28","6.08","6.2241535","6.4383105",
"기혼","실업","현대사회 위험요인에 따른 피해정도","","5.98","6.2","...","6.14","6.26","7.46","7.46","7.2837456","6.8520289",
"기혼","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.09","6.5","...","6.37","6.39","6.09","5.93","","",
"기혼","감염병","현대사회 위험요인에 따른 피해정도","","5.61","6.4","...","6.29","6.28","5.83","7.83","7.8382995","7.4346181",
"기혼","부정부패","현대사회 위험요인에 따른 피해정도","","5.6","5.7","...","5.65","5.95","7.07","7.1","7.1119562","6.6866112",
"기혼","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.23","6.4","...","6.32","6.39","7.02","6.82","6.8704054","6.5450123",
"기혼","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.66","5.7","...","5.62","5.79","6.85","7.25","7.2299476","6.7171139",
"기혼","경제위기","현대사회 위험요인에 따른 피해정도","","6.14","6.3","...","6.18","6.24","7.38","7.05","7.0079214","6.9593169",
"기혼","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.422184","6.4848199",
"기혼","안보","현대사회 위험요인에 따른 피해정도","","","","...","6","6.14","6.71","6.28","","",
"기혼","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.59","6","...","5.9","6.02","6.34","6.42","","",
"기혼","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.61","6.3","","","","","6.89","6.9255193","6.460212",
"기혼","화재","현대사회 위험요인에 따른 피해정도","","5.64","5.8","","","","","","","",
"기혼","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.95","6.2","","","","","","","",
"기혼","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2775966",
"미혼","종합","현대사회 위험요인에 따른 피해정도","","5.89","6.2","...","6.14","6.15","6.51","6.8","7.0231741","6.6476731",
"미혼","자연재해","현대사회 위험요인에 따른 피해정도","","5.83","6.2","...","6.2","6.11","5.93","6.21","5.9243107","6.4994516",
"미혼","교통사고","현대사회 위험요인에 따른 피해정도","","6.15","6.4","","","","","","","",
"미혼","안전사고","현대사회 위험요인에 따른 피해정도","","","","...","6.19","6.16","6.18","6.05","6.3553267","6.4058536",
"미혼","실업","현대사회 위험요인에 따른 피해정도","","6.12","6.2","...","6.17","6.33","7.58","7.52","7.3505164","6.7703472",
"미혼","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.26","6.6","...","6.44","6.37","5.85","5.8","","",
"미혼","감염병","현대사회 위험요인에 따른 피해정도","","5.62","6.4","...","6.28","6.23","5.61","8.08","7.6961236","7.4682221",
"미혼","부정부패","현대사회 위험요인에 따른 피해정도","","5.61","5.7","...","5.68","5.92","7.07","7.13","7.3024144","6.5721119",
"미혼","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.37","6.6","...","6.52","6.38","6.99","6.98","7.1202284","6.5721724",
"미혼","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.63","5.7","...","5.72","5.81","6.59","7.19","7.4048888","6.6304771",
"미혼","경제위기","현대사회 위험요인에 따른 피해정도","","6.24","6.2","...","6.23","6.18","7.19","7.01","6.9597548","6.905163",
"미혼","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.8309602","6.5150373",
"미혼","안보","현대사회 위험요인에 따른 피해정도","","","","...","6.01","6.08","6.44","6.13","","",
"미혼","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.84","6.2","...","6.12","6.09","6.18","6.54","","",
"미혼","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.55","6.3","","","","","7.01","7.2872168","6.5059267",
"미혼","화재","현대사회 위험요인에 따른 피해정도","","5.57","5.8","","","","","","","",
"미혼","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.75","5.9","","","","","","","",
"미혼","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2796416",
"이혼/사별/기타","종합","현대사회 위험요인에 따른 피해정도","","","","","","","6.66","6.49","6.582955","6.4741448",
"이혼/사별/기타","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","6.09","5.95","5.7389426","6.4566588",
"이혼/사별/기타","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","6.31","5.93","5.7938937","6.2088531",
